Anzahl Profilkoordinaten
       159
 Profilopt_PODFoil
  0.1000000000000000E+01  0.0000000000000000E+00
  0.9928574851406494E+00  0.6967679750461006E-02
  0.9855109082072346E+00  0.6743853046976995E-02
  0.9779544391341708E+00  0.6396270797914498E-02
  0.9701820812905526E+00  0.6016452916057971E-02
  0.9621876667213736E+00  0.5518573239212277E-02
  0.9539648512527857E+00  0.5015644430393373E-02
  0.9455071094575176E+00  0.4569376048613786E-02
  0.9368077294764524E+00  0.4243793349517313E-02
  0.9278598076922597E+00  0.4134702236673421E-02
  0.9186562432508514E+00  0.4207046881893928E-02
  0.9091897324263161E+00  0.4391614275283708E-02
  0.8994527628248589E+00  0.4655628139662868E-02
  0.8894376074231479E+00  0.4946253948564367E-02
  0.8791363184363352E+00  0.5256515971830451E-02
  0.8685407210108875E+00  0.5595266421340563E-02
  0.8576424067372199E+00  0.5974726122179786E-02
  0.8464327269769862E+00  0.6426511055545832E-02
  0.8349027859997283E+00  0.6985960995113097E-02
  0.8230434339234405E+00  0.7676643028649944E-02
  0.8108452594534440E+00  0.8524113270474479E-02
  0.7982985824138119E+00  0.9551840809129087E-02
  0.7853934460654156E+00  0.1067547623634972E-01
  0.7721196092044980E+00  0.1185502135552712E-01
  0.7584665380355013E+00  0.1312166582297172E-01
  0.7444233978117035E+00  0.1451081094789113E-01
  0.7299790442370240E+00  0.1603501423145979E-01
  0.7151220146221811E+00  0.1766179288024975E-01
  0.6998405187881787E+00  0.1936973408311946E-01
  0.6841224297099066E+00  0.2118021386055095E-01
  0.6679552738924258E+00  0.2309768928573108E-01
  0.6513262214723059E+00  0.2512027580830746E-01
  0.6342220760361554E+00  0.2725682616341749E-01
  0.6166292641482681E+00  0.2952734506121437E-01
  0.5985338245790730E+00  0.3192003183780594E-01
  0.5799213972258400E+00  0.3439395099739593E-01
  0.5607772117168507E+00  0.3696300296607119E-01
  0.5410860756899890E+00  0.3964300131442822E-01
  0.5208323627364498E+00  0.4240040712949495E-01
  0.5000000000000000E+00  0.4522451893985709E-01
  0.4796813261521016E+00  0.4806271861924218E-01
  0.4599131169801195E+00  0.5084139583290628E-01
  0.4406804595344341E+00  0.5340103439572500E-01
  0.4219688448805716E+00  0.5574314242192491E-01
  0.4037641571538018E+00  0.5784895767359845E-01
  0.3860526629102627E+00  0.5964992350582936E-01
  0.3688210007665814E+00  0.6117276614400097E-01
  0.3520561713201731E+00  0.6242253412129683E-01
  0.3357455273426142E+00  0.6337393204263918E-01
