Anzahl Profilkoordinaten
       104
Airfoil
  1.0000000000000000E+00  0.0000000000000000E+00
  9.8680565172649240E-01  3.3517366032442490E-03
  9.7329109262092920E-01  6.9513041799440290E-03
  9.5937361812371710E-01  1.0583489143029498E-02
  9.4501500365335500E-01  1.4125425855116936E-02
  9.3019839514852280E-01  1.7539795291518136E-02
  9.1492411055575610E-01  2.0866899000086144E-02
  8.9919283389065340E-01  2.4158523175472065E-02
  8.8299859650456480E-01  2.7442245179240266E-02
  8.6633008452391010E-01  3.0723238413956817E-02
  8.4917363457302760E-01  3.3996769727746505E-02
  8.3151486578330520E-01  3.7255849110572725E-02
  8.1333977650444910E-01  4.0497071449590050E-02
  7.9463446061188070E-01  4.3719586414330720E-02
  7.7538313842208580E-01  4.6913644378717840E-02
  7.5556854797417780E-01  5.0061756029424184E-02
  7.3517411907761890E-01  5.3151627385235450E-02
  7.1418340346666230E-01  5.6173186958863470E-02
  6.9257945718935950E-01  5.9114726226897264E-02
  6.7034478877595590E-01  6.1962212801461280E-02
  6.4746125585608350E-01  6.4697776390911980E-02
  6.2391045869173570E-01  6.7302238388133570E-02
  5.9967528108418090E-01  6.9770402955778600E-02
  5.7473444902339310E-01  7.2056406153914910E-02
  5.4906931568593450E-01  7.4139114855513970E-02
  5.2266128096632870E-01  7.5998502640958210E-02
  4.9549199477021066E-01  7.7620958374510750E-02
  4.6830562942027487E-01  7.8925684457117090E-02
  4.4184861432633000E-01  7.9856538413603110E-02
  4.1610542917112280E-01  8.0425189403051480E-02
  3.9106095662303940E-01  8.0630606539379700E-02
  3.6670102227576320E-01  8.0471993281229460E-02
  3.4301222213901480E-01  7.9961531786747420E-02
  3.1998150329276810E-01  7.9112078868639770E-02
  2.9759563579288000E-01  7.7946705628011250E-02
  2.7584274456573050E-01  7.6466935443243390E-02
  2.5471216622316517E-01  7.4668654725130400E-02
  2.3419198201681612E-01  7.2571711376098120E-02
  2.1427203131460437E-01  7.0180340924123120E-02
  1.9494236330608322E-01  6.7501898778605340E-02
  1.7619286984082870E-01  6.4548290309366280E-02
  1.5801594449589748E-01  6.1318299512605215E-02
  1.4040201452591590E-01  5.7825916075758320E-02
  1.2334455199804431E-01  5.4071446440899020E-02
  1.0683997172209336E-01  5.0047148304521570E-02
  9.0890292731990980E-02  4.5730414406644110E-02
  7.5501868153121350E-02  4.1094397682274866E-02
  6.0698769834438270E-02  3.6072153909807156E-02
  4.6486134573732440E-02  3.0669912582889796E-02
  3.2913151540671134E-02  2.4790270226753546E-02
  2.0096692921349826E-02  1.8223252327189920E-02
  8.4330869863701150E-03  1.0967189615517079E-02
  8.6736173798840350E-19 -1.0842021724855044E-18
  8.8024300793372030E-03 -1.0691480893836492E-02
  2.1633473860549462E-02 -1.5922004189269690E-02
  3.5671397940946780E-02 -1.9397404266375350E-02
  5.0350525177346790E-02 -2.1823985720325567E-02
  6.5558595451217420E-02 -2.3545514977508727E-02
  8.1256453217922080E-02 -2.4758894447540994E-02
  9.7430590495704270E-02 -2.5610020318020982E-02
  1.1408728771628042E-01 -2.6000612598865498E-02
  1.3122688879987557E-01 -2.6006326252263016E-02
  1.4885651334661132E-01 -2.5747279549657373E-02
  1.6698892409287075E-01 -2.5317306462638644E-02
  1.8563782390780170E-01 -2.4735213510207518E-02
  2.0481719092059800E-01 -2.4001702710281730E-02
  2.2454196717669167E-01 -2.3126888101867468E-02
  2.4482816821008346E-01 -2.2128718471934470E-02
  2.6569192464934250E-01 -2.1012815581855932E-02
  2.8715093041909660E-01 -1.9801974792661920E-02
  3.0922336847812770E-01 -1.8515430211562784E-02
  3.3192730403131365E-01 -1.7159943198689630E-02
  3.5528303449329923E-01 -1.5770414198156786E-02
  3.7931069730525513E-01 -1.4370271367922773E-02
  4.0403097200604776E-01 -1.2984612262385412E-02
  4.2946560672438694E-01 -1.1651270701854190E-02
  4.5563446233777644E-01 -1.0365398544130601E-02
  4.8255865378878080E-01 -9.1355252848202160E-03
  5.1025955415161580E-01 -7.9634636335455590E-03
  5.3719125748568620E-01 -6.9108264264065550E-03
  5.6337497898245940E-01 -5.9753172210147310E-03
  5.8883059719656260E-01 -5.1326431074096190E-03
  6.1357817899569870E-01 -4.3781301235918110E-03
  6.3763697229332380E-01 -3.6973887935117782E-03
  6.6102574918063520E-01 -3.0760834622141917E-03
  6.8376311066555640E-01 -2.5118498088869190E-03
  7.0586710799183030E-01 -2.0009214647189470E-03
  7.2735531580099480E-01 -1.5404944911932277E-03
  7.4824477497824910E-01 -1.1253557687494198E-03
  7.6855196908722330E-01 -7.4519083198321690E-04
  7.8829307204696500E-01 -3.9671530555234790E-04
  8.0748386723872070E-01 -7.9945504126145770E-05
  8.2613980178238120E-01  1.9788238803703290E-04
  8.4427585783988250E-01  4.2932402130741294E-04
  8.6190648781352950E-01  6.1242686367291410E-04
  8.7904575038797240E-01  7.4059597499540630E-04
  8.9570722828956980E-01  8.1018694338689470E-04
  9.1190406839946030E-01  8.1786140613661690E-04
  9.2764906994707320E-01  7.8664139800055790E-04
  9.4295486606544240E-01  7.5853443618274590E-04
  9.5783373038425190E-01  7.6642690580313380E-04
  9.7229759750188320E-01  7.8698826355261500E-04
  9.8635774913239720E-01  6.8795833796951550E-04
  1.0000000000000000E+00  0.0000000000000000E+00
