Anzahl Profilkoordinaten
       205
Airfoil
  1.0000000000000000E+00  0.0000000000000000E+00
  9.9330464218724230E-01  1.5334956294358727E-03
  9.8657685150715170E-01  3.4103082189994457E-03
  9.7975343668580640E-01  5.2174985853612730E-03
  9.7282942809150250E-01  7.0738762695294340E-03
  9.6580662856275920E-01  8.9233769182977750E-03
  9.5867497800977630E-01  1.0761145918960362E-02
  9.5143200614649040E-01  1.2571348255997266E-02
  9.4407461049234140E-01  1.4349088491247657E-02
  9.3660134166697280E-01  1.6091428490145294E-02
  9.2901246203549180E-01  1.7804125763006072E-02
  9.2130865483784670E-01  1.9495363614197316E-02
  9.1349008008145420E-01  2.1171707481968043E-02
  9.0555680587971240E-01  2.2839940842572520E-02
  8.9750837711131780E-01  2.4504778464857716E-02
  8.8934355031929000E-01  2.6167456720354800E-02
  8.8106093874266090E-01  2.7828647969858535E-02
  8.7265910448837130E-01  2.9488917492012170E-02
  8.6413637296289170E-01  3.1147754040468757E-02
  8.5549089968146330E-01  3.2803855747325530E-02
  8.4672085454217520E-01  3.4456061331120884E-02
  8.3782453597203380E-01  3.6103968567604325E-02
  8.2880021796418000E-01  3.7747158080843020E-02
  8.1964613992891540E-01  3.9385127173552670E-02
  8.1036060567258020E-01  4.1017865683650120E-02
  8.0094194741166250E-01  4.2645663253867600E-02
  7.9138818339833040E-01  4.4267133676434780E-02
  7.8169722066595280E-01  4.5880304320106854E-02
  7.7186690373975160E-01  4.7482858023122140E-02
  7.6189505426464990E-01  4.9072365189493120E-02
  7.5177962371730120E-01  5.0647232957537090E-02
  7.4151865409051600E-01  5.2206554994396220E-02
  7.3111014539295970E-01  5.3749252858569574E-02
  7.2055196417886590E-01  5.5273460775257560E-02
  7.0984207636577960E-01  5.6778102396247810E-02
  6.9897835501056170E-01  5.8261514958172460E-02
  6.8795857720822150E-01  5.9721450892852210E-02
  6.7678066218880330E-01  6.1156813791028500E-02
  6.6544234586360650E-01  6.2565128542083180E-02
  6.5394128815823190E-01  6.3943408924230200E-02
  6.4227529625625510E-01  6.5289893188564940E-02
  6.3044203303973980E-01  6.6601470522459320E-02
  6.1843939967335990E-01  6.7877536340716670E-02
  6.0626564200530570E-01  6.9121034510709240E-02
  5.9391771173991010E-01  7.0322056835566240E-02
  5.8139270332619160E-01  7.1471916377781900E-02
  5.6868868654653860E-01  7.2571378252682020E-02
  5.5580346311648090E-01  7.3618876287570290E-02
  5.4273469168609430E-01  7.4611302803643890E-02
  5.2948004125986680E-01  7.5545487076887270E-02
  5.1603736104843350E-01  7.6421233948449800E-02
  5.0240437618759780E-01  7.7236620203595470E-02
  4.8857850620875590E-01  7.7984860931141710E-02
  4.7493684641788840E-01  7.8639290795764910E-02
  4.6147728307516145E-01  7.9198571174050760E-02
  4.4819791342945530E-01  7.9664486739552450E-02
  4.3509685113130137E-01  8.0038593112342270E-02
  4.2217222142184700E-01  8.0322151192515280E-02
  4.0942217215774895E-01  8.0515472309933100E-02
  3.9684489173359005E-01  8.0615825381375030E-02
  3.8443866410673560E-01  8.0623039395392600E-02
