Anzahl Profilkoordinaten
       159
 Profilopt_Bezier
  0.1000000000000000E+01  0.0000000000000000E+00
  0.9928574851406494E+00  0.1465521500079200E-02
  0.9855109082072346E+00  0.3193128166811512E-02
  0.9779544391341708E+00  0.4922494577096394E-02
  0.9701820812905526E+00  0.6683785987191905E-02
  0.9621876667213736E+00  0.8465503150068268E-02
  0.9539648512527857E+00  0.1025334463106727E-01
  0.9455071094575176E+00  0.1203028728423475E-01
  0.9368077294764524E+00  0.1378571328401575E-01
  0.9278598076922597E+00  0.1552066831843924E-01
  0.9186562432508514E+00  0.1724829976850484E-01
  0.9091897324263161E+00  0.1898066517614333E-01
  0.8994527628248589E+00  0.2072746805591834E-01
  0.8894376074231479E+00  0.2249128683692319E-01
  0.8791363184363352E+00  0.2427272726190884E-01
  0.8685407210108875E+00  0.2607222717590726E-01
  0.8576424067372199E+00  0.2788753839053553E-01
  0.8464327269769862E+00  0.2971613784842743E-01
  0.8349027859997283E+00  0.3155805325541489E-01
  0.8230434339234405E+00  0.3341131585762939E-01
  0.8108452594534440E+00  0.3527075707707282E-01
  0.7982985824138119E+00  0.3713117616131308E-01
  0.7853934460654156E+00  0.3898400142266484E-01
  0.7721196092044980E+00  0.4082298460853238E-01
  0.7584665380355013E+00  0.4264087819298074E-01
  0.7444233978117035E+00  0.4442870163709785E-01
  0.7299790442370240E+00  0.4618016920695853E-01
  0.7151220146221811E+00  0.4789224485909981E-01
  0.6998405187881787E+00  0.4956293883313094E-01
  0.6841224297099066E+00  0.5118687752635450E-01
  0.6679552738924258E+00  0.5275528423051966E-01
  0.6513262214723059E+00  0.5425953526238030E-01
  0.6342220760361554E+00  0.5568889811278085E-01
  0.6166292641482681E+00  0.5703270762956682E-01
  0.5985338245790730E+00  0.5828321219011570E-01
  0.5799213972258400E+00  0.5944184748091397E-01
  0.5607772117168507E+00  0.6049404324255789E-01
  0.5410860756899890E+00  0.6142912402376712E-01
  0.5208323627364498E+00  0.6224315292796456E-01
  0.5000000000000000E+00  0.6292902065351501E-01
  0.4796813261521016E+00  0.6344071048364375E-01
  0.4599131169801195E+00  0.6379533504601831E-01
  0.4406804595344341E+00  0.6401844980759032E-01
  0.4219688448805716E+00  0.6412013925207766E-01
  0.4037641571538018E+00  0.6411117802307034E-01
  0.3860526629102627E+00  0.6400357678013435E-01
  0.3688210007665814E+00  0.6380376319214942E-01
  0.3520561713201731E+00  0.6351803925569594E-01
  0.3357455273426142E+00  0.6315448054880111E-01
  0.3198767642386944E+00  0.6271818583744500E-01
  0.3044379107639454E+00  0.6221007190803134E-01
  0.2894173199936483E+00  0.6163229693367486E-01
  0.2748036605365037E+00  0.6098409971764852E-01
  0.2605859079863379E+00  0.6026401362597843E-01
  0.2467533366053944E+00  0.5946838977161051E-01
  0.2332955112329407E+00  0.5859577218182527E-01
  0.2202022794130800E+00  0.5764539496213758E-01
  0.2074637637358363E+00  0.5661622723132778E-01
  0.1950703543857290E+00  0.5550847252978968E-01
  0.1830127018922193E+00  0.5432105481627954E-01
  0.1712817100765589E+00  0.5305407985526269E-01
  0.1598685291897182E+00  0.5171295050858148E-01
  0.1487645492362200E+00  0.5030265320716333E-01
  0.1379613934788400E+00  0.4882049671613757E-01
  0.1274509121192762E+00  0.4725984487987035E-01
  0.1172251761500185E+00  0.4561610847138113E-01
  0.1072764713727794E+00  0.4388203167501244E-01
  0.9759729257897742E-01  0.4204787135775920E-01
  0.8818033788787760E-01  0.4010809964091611E-01
  0.7901850323812309E-01  0.3806030437634719E-01
  0.7010487702849755E-01  0.3589323799600064E-01
  0.6143273490387935E-01  0.3358808661126800E-01
  0.5299553468245133E-01  0.3114333466111922E-01
  0.4478691142034164E-01  0.2855326668802131E-01
  0.3680067260996922E-01  0.2576299372570232E-01
  0.2903079350847615E-01  0.2269805262492865E-01
  0.2147141259271734E-01  0.1926685757042701E-01
  0.1411682713738449E-01  0.1529837501352580E-01
  0.6961488912922809E-02  0.1061511401925396E-01
  0.0000000000000000E+00  0.2164971211227220E-08
  0.7142514859350579E-02 -0.6418332655133459E-02
  0.1448909179276531E-01 -0.9118042824525741E-02
  0.2204556086582921E-01 -0.1087136399148496E-01
  0.2981791870944739E-01 -0.1216734174187642E-01
  0.3781233327862649E-01 -0.1324304798322496E-01
  0.4603514874721426E-01 -0.1413612600565305E-01
  0.5449289054248241E-01 -0.1489183412934849E-01
  0.6319227052354759E-01 -0.1553911318635475E-01
  0.7214019230774033E-01 -0.1608629383462679E-01
  0.8134375674914868E-01 -0.1654649111984535E-01
  0.9081026757368399E-01 -0.1692160060573938E-01
  0.1005472371751411E+00 -0.1724835190705418E-01
  0.1105623925768521E+00 -0.1753069544804208E-01
  0.1208636815636647E+00 -0.1775671525535552E-01
  0.1314592789891125E+00 -0.1792158517018630E-01
  0.1423575932627800E+00 -0.1803011997477963E-01
  0.1535672730230138E+00 -0.1808613687438660E-01
  0.1650972140002717E+00 -0.1809710307389138E-01
  0.1769565660765595E+00 -0.1806727136195159E-01
  0.1891547405465560E+00 -0.1799766095052152E-01
  0.2017014175861881E+00 -0.1788686345074856E-01
  0.2146065539345844E+00 -0.1773650255245520E-01
  0.2278803907955021E+00 -0.1754962111388138E-01
  0.2415334619644987E+00 -0.1732788252480765E-01
  0.2555766021882965E+00 -0.1707208793508893E-01
  0.2700209557629760E+00 -0.1678360595173193E-01
  0.2848779853778189E+00 -0.1646629754864682E-01
  0.3001594812118213E+00 -0.1612231533010715E-01
  0.3158775702900934E+00 -0.1575052152507594E-01
  0.3320447261075742E+00 -0.1535249003683726E-01
  0.3486737785276941E+00 -0.1493237031974087E-01
  0.3657779239638446E+00 -0.1449201058105264E-01
  0.3833707358517319E+00 -0.1403345688099974E-01
  0.4014661754209270E+00 -0.1356352831699273E-01
  0.4200786027741600E+00 -0.1308849912500625E-01
  0.4392227882831493E+00 -0.1260661252891464E-01
  0.4589139243100110E+00 -0.1211369531425972E-01
  0.4791676372635502E+00 -0.1161276725751084E-01
  0.5000000000000000E+00 -0.1110325393985110E-01
  0.5203186738478984E+00 -0.1060921641197296E-01
  0.5400868830198805E+00 -0.1013629185977208E-01
  0.5593195404655659E+00 -0.9685331947374745E-02
  0.5780311551194284E+00 -0.9250687051682853E-02
  0.5962358428461982E+00 -0.8831698119001488E-02
  0.6139473370897373E+00 -0.8429208130110218E-02
  0.6311789992334186E+00 -0.8037854334734191E-02
  0.6479438286798269E+00 -0.7653831023117396E-02
  0.6642544726573858E+00 -0.7276946343840185E-02
  0.6801232357613056E+00 -0.6908617712381339E-02
  0.6955620892360546E+00 -0.6549103474866459E-02
  0.7105826800063517E+00 -0.6196892548462262E-02
  0.7251963394634963E+00 -0.5851300867847007E-02
  0.7394140920136621E+00 -0.5513554406289704E-02
  0.7532466633946056E+00 -0.5184550208117760E-02
  0.7667044887670593E+00 -0.4864243888934343E-02
  0.7797977205869200E+00 -0.4552712725356393E-02
  0.7925362362641637E+00 -0.4250043057701307E-02
  0.8049296456142710E+00 -0.3954169654449563E-02
  0.8169872981077807E+00 -0.3670293202293033E-02
  0.8287182899234411E+00 -0.3403726949669667E-02
  0.8401314708102818E+00 -0.3154980891955634E-02
  0.8512354507637800E+00 -0.2923474843687279E-02
  0.8620386065211600E+00 -0.2708607856493289E-02
  0.8725490878807238E+00 -0.2509257365209311E-02
  0.8827748238499815E+00 -0.2324363616630547E-02
  0.8927235286272206E+00 -0.2153801966561831E-02
  0.9024027074210226E+00 -0.1997905936045825E-02
  0.9118196621121224E+00 -0.1855551027147376E-02
  0.9209814967618769E+00 -0.1721414869900051E-02
  0.9298951229715025E+00 -0.1587053673567660E-02
  0.9385672650961207E+00 -0.1443527682625196E-02
  0.9470044653175487E+00 -0.1284557222395042E-02
  0.9552130885796584E+00 -0.1099647850325287E-02
  0.9631993273900308E+00 -0.8799258295236052E-03
  0.9709692064915239E+00 -0.6522364920357884E-03
  0.9785285874072827E+00 -0.4287654546914698E-03
  0.9858831728626155E+00 -0.2130813075046667E-03
  0.9930385110870772E+00  0.1687659755556317E-04
  0.1000000000000000E+01  0.0000000000000000E+00
